"","sex","age","year","population","citizenship"
"572","Maschi",71,2022,312354,"italiani"
"573","Maschi",71,2023,299205,"italiani"
"574","Maschi",71,2024,297809,"italiani"
"575","Maschi",71,2025,302627,"italiani"
"576","Maschi",71,2026,314241,"italiani"
"577","Maschi",72,2019,323688,"italiani"
"578","Maschi",72,2020,322319,"italiani"
"579","Maschi",72,2021,326783,"italiani"
"580","Maschi",72,2022,310823,"italiani"
"581","Maschi",72,2023,306030,"italiani"
"582","Maschi",72,2024,293615,"italiani"
"583","Maschi",72,2025,292480,"italiani"
"584","Maschi",72,2026,297344,"italiani"
"585","Maschi",73,2019,245340,"italiani"
"586","Maschi",73,2020,316769,"italiani"
"587","Maschi",73,2021,315455,"italiani"
"588","Maschi",73,2022,319255,"italiani"
"589","Maschi",73,2023,304050,"italiani"
"590","Maschi",73,2024,299753,"italiani"
"591","Maschi",73,2025,287959,"italiani"
"592","Maschi",73,2026,286839,"italiani"
"593","Maschi",74,2019,247711,"italiani"
"594","Maschi",74,2020,239454,"italiani"
"595","Maschi",74,2021,309135,"italiani"
"596","Maschi",74,2022,307332,"italiani"
"597","Maschi",74,2023,311493,"italiani"
"598","Maschi",74,2024,297275,"italiani"
"599","Maschi",74,2025,293231,"italiani"
"600","Maschi",74,2026,281785,"italiani"
"601","Maschi",75,2019,243708,"italiani"
"602","Maschi",75,2020,241319,"italiani"
"603","Maschi",75,2021,232786,"italiani"
"604","Maschi",75,2022,300317,"italiani"
"605","Maschi",75,2023,298903,"italiani"
"606","Maschi",75,2024,303795,"italiani"
"607","Maschi",75,2025,290054,"italiani"
"608","Maschi",75,2026,286041,"italiani"
"609","Maschi",76,2019,236561,"italiani"
"610","Maschi",76,2020,236672,"italiani"
"611","Maschi",76,2021,233780,"italiani"
"612","Maschi",76,2022,225051,"italiani"
"613","Maschi",76,2023,291165,"italiani"
"614","Maschi",76,2024,290562,"italiani"
"615","Maschi",76,2025,295695,"italiani"
"616","Maschi",76,2026,281957,"italiani"
"617","Maschi",77,2019,231896,"italiani"
"618","Maschi",77,2020,229021,"italiani"
"619","Maschi",77,2021,228229,"italiani"
"620","Maschi",77,2022,225393,"italiani"
"621","Maschi",77,2023,217012,"italiani"
"622","Maschi",77,2024,281919,"italiani"
"623","Maschi",77,2025,281649,"italiani"
"624","Maschi",77,2026,286702,"italiani"
"625","Maschi",78,2019,247740,"italiani"
"626","Maschi",78,2020,223644,"italiani"
"627","Maschi",78,2021,219789,"italiani"
"628","Maschi",78,2022,218914,"italiani"
"629","Maschi",78,2023,216588,"italiani"
"630","Maschi",78,2024,209435,"italiani"
